Parameter,Initial value,Model estimate,Standard Error
k_e_P,0.949,0.296,0.061
k_p1,0.406,3.736,0.165
k_p2,0.564,37.181,22.573
k_ent,0.000,0.000,0.000
k_stor,0.710,0.038,0.012
k_sliv,0.380,0.110,0.019
D,10000.000,10000.000,0.000
F,1.000,1.000,0.000
k_ent_gf,0.091,1.360,0.095
k_ent_omm,0.449,0.745,0.069
k_ent_spf,0.850,0.590,0.065

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
D31FA16_GF_Jejunum,0.0,0.000,0.000,0.000,934349.326,729.716,0.989
D31FA16_GF_Jejunum,1.0,2533.035,2533.035,896.855,,,
D31FA16_GF_Jejunum,2.0,1342.697,1342.697,356.628,,,
D31FA16_GF_Jejunum,6.0,298.243,298.243,1.630,,,
D31FA16_GF_Ileum,0.0,0.000,0.000,0.000,3004.967,46.605,-0.120
D31FA16_GF_Ileum,1.0,23.618,23.618,87.417,,,
D31FA16_GF_Ileum,2.0,82.329,82.329,35.705,,,
D31FA16_GF_Ileum,6.0,76.162,76.162,0.164,,,
D31FA16_GF_Plasma,0.0,0.000,0.000,0.000,122275.535,255.336,0.959
D31FA16_GF_Plasma,1.0,2429.118,2429.118,1785.452,,,
D31FA16_GF_Plasma,2.0,2415.471,2415.471,2562.619,,,
D31FA16_GF_Plasma,6.0,772.897,772.897,542.368,,,
D31FA16_GF_Liver,0.0,0.000,0.000,0.000,46587.294,164.192,0.850
D31FA16_GF_Liver,1.0,173.801,173.801,75.466,,,
D31FA16_GF_Liver,2.0,716.988,716.988,335.900,,,
D31FA16_GF_Liver,6.0,796.154,796.154,973.498,,,
D31FA16_GF_Content_duodenum,0.0,0.000,0.000,0.000,24200.449,108.122,0.749
D31FA16_GF_Content_duodenum,1.0,212.352,212.352,487.214,,,
D31FA16_GF_Content_duodenum,2.0,159.795,159.795,14.539,,,
D31FA16_GF_Content_duodenum,6.0,12.368,12.368,0.000,,,
D31FA16_GF_Content_jejunum,0.0,0.000,0.000,0.000,369665.288,466.776,0.793
D31FA16_GF_Content_jejunum,1.0,1426.772,1426.772,710.008,,,
D31FA16_GF_Content_jejunum,2.0,996.921,996.921,32.348,,,
D31FA16_GF_Content_jejunum,6.0,185.766,185.766,0.000,,,
D31FA16_GF_Content_ileum,0.0,0.000,0.000,0.000,11680.579,69.732,-0.133
D31FA16_GF_Content_ileum,1.0,72.331,72.331,73.543,,,
D31FA16_GF_Content_ileum,2.0,78.431,78.431,3.439,,,
D31FA16_GF_Content_ileum,6.0,202.724,202.724,0.000,,,
D31FA16_GF_iWAT,0.0,0.000,0.000,0.000,13109.234,64.735,0.992
D31FA16_GF_iWAT,1.0,0.000,0.000,26.186,,,
D31FA16_GF_iWAT,2.0,121.882,121.882,116.554,,,
D31FA16_GF_iWAT,6.0,565.221,565.221,337.794,,,
D31FA16_GF_eWAT,0.0,0.000,0.000,0.000,136202.362,232.474,0.603
D31FA16_GF_eWAT,1.0,7.059,7.059,26.186,,,
D31FA16_GF_eWAT,2.0,826.588,826.588,116.554,,,
D31FA16_GF_eWAT,6.0,538.529,538.529,337.794,,,
D31FA16_GF_Content_colon,0.0,0.000,0.000,0.000,2168.948,31.468,-0.381
D31FA16_GF_Content_colon,1.0,0.000,0.000,83.958,,,
D31FA16_GF_Content_colon,2.0,2.551,2.551,4.163,,,
D31FA16_GF_Content_colon,6.0,40.302,40.302,0.000,,,
D31FA16_GF_Content_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
D31FA16_GF_Content_cecum,1.0,0.000,,78.653,,,
D31FA16_GF_Content_cecum,2.0,0.000,,3.785,,,
D31FA16_GF_Content_cecum,6.0,0.000,,0.000,,,
