Parameter,Initial value,Model estimate,Standard Error
k_e_P,0.949,0.303,0.070
k_p1,0.406,3.686,0.181
k_p2,0.564,40.087,29.567
k_ent,0.710,0.875,0.053
k_stor,0.380,0.031,0.014
k_sliv,0.091,0.120,0.022
D,10000.000,10000.000,0.000
F,1.000,1.000,0.000

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
D31FA16_SPF_iWAT,0.0,0.000,0.000,0.000,2328.597,36.428,0.929
D31FA16_SPF_iWAT,1.0,23.647,23.647,10.401,,,
D31FA16_SPF_iWAT,2.0,0.441,0.441,53.161,,,
D31FA16_SPF_iWAT,6.0,113.941,113.941,193.688,,,
D31FA16_SPF_eWAT,0.0,0.000,0.000,0.000,4677.566,48.068,0.873
D31FA16_SPF_eWAT,1.0,24.471,24.471,10.401,,,
D31FA16_SPF_eWAT,2.0,0.353,0.353,53.161,,,
D31FA16_SPF_eWAT,6.0,68.294,68.294,193.688,,,
D31FA16_SPF_Content_colon,0.0,0.000,0.000,0.000,28136.893,121.680,-0.437
D31FA16_SPF_Content_colon,1.0,10.896,10.896,102.784,,,
D31FA16_SPF_Content_colon,2.0,89.736,89.736,6.686,,,
D31FA16_SPF_Content_colon,6.0,311.780,311.780,-0.000,,,
D31FA16_SPF_Content_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
D31FA16_SPF_Content_cecum,1.0,0.000,,97.522,,,
D31FA16_SPF_Content_cecum,2.0,0.000,,6.163,,,
D31FA16_SPF_Content_cecum,6.0,0.000,,-0.000,,,
D5FA16_GF_si,0.0,0.000,,0.000,NaN,NaN,NaN
D5FA16_GF_si,1.0,0.000,,250.400,,,
D5FA16_GF_si,2.0,0.000,,6.307,,,
D5FA16_GF_si,6.0,0.000,,-0.000,,,
D5FA16_GF_Duodenum,0.0,0.000,0.000,0.000,92322.223,196.600,0.975
D5FA16_GF_Duodenum,1.0,492.166,492.166,1073.228,,,
D5FA16_GF_Duodenum,2.0,358.416,358.416,533.798,,,
D5FA16_GF_Duodenum,6.0,46.297,46.297,16.339,,,
D5FA16_GF_Jejunum,0.0,0.000,0.000,0.000,14790.227,102.780,0.988
D5FA16_GF_Jejunum,1.0,991.076,991.076,842.507,,,
D5FA16_GF_Jejunum,2.0,615.047,615.047,519.978,,,
D5FA16_GF_Jejunum,6.0,183.820,183.820,16.339,,,
D5FA16_GF_Ileum,0.0,0.000,0.000,0.000,2485.879,41.594,-0.410
D5FA16_GF_Ileum,1.0,8.674,8.674,75.455,,,
D5FA16_GF_Ileum,2.0,14.082,14.082,47.690,,,
D5FA16_GF_Ileum,6.0,67.489,67.489,1.502,,,
D5FA16_GF_Plasma,0.0,0.000,0.000,0.000,545210.875,484.527,0.873
D5FA16_GF_Plasma,1.0,2320.388,2320.388,934.875,,,
D5FA16_GF_Plasma,2.0,2156.118,2156.118,1646.888,,,
D5FA16_GF_Plasma,6.0,567.250,567.250,523.884,,,
D5FA16_GF_Liver,0.0,0.000,0.000,0.000,67409.390,198.317,0.619
D5FA16_GF_Liver,1.0,140.809,140.809,40.461,,,
D5FA16_GF_Liver,2.0,652.012,652.012,206.812,,,
